nbursts cpu_time io_time
12 18.82483524783634 4.402822357044229
14 20.408013069660672 5.561889830780146
9 13.23550386307137 3.8320649468837726
8 13.438152239183815 3.0594444692499696
9 14.213043648104657 3.3782483746836682
10 13.842706980213254 3.925732333869596
7 10.999685509771735 2.671679189549047
9 13.09203318345903 3.5189646425486774
16 25.854606966945287 6.406857908457386
10 16.290155790668774 3.7460909695283897
13 20.509260784358883 5.457977293039412
14 20.570518377507867 5.665820444496993
7 11.074936584413587 2.5457296634613984
10 15.870751176829474 4.194021905389437
10 13.659773322568466 3.9172558354440206
13 20.420654640622278 5.218662071236425
4 5.68186689740494 1.4667244939528388
10 14.169334671051432 4.306596787763979
9 12.051829549079294 3.820307939219412
10 15.666712263458521 4.0275632181997
6 7.914123799661027 2.4665060138671375
15 20.597521116214462 6.1118002917951735
6 8.997840646389857 2.5781788818422995
11 15.476828844642917 4.4012886712751484
13 20.854984967799194 4.982203379205191
9 11.561765375327285 3.5067463532012146
6 8.461361083347658 2.4532901425066562
10 16.760720625439436 4.158323885670054
7 10.329460017234203 2.7296137258207676
9 13.21962333796674 3.8364176073304956
11 17.173268171044732 4.368148403921099
5 7.187917620966379 2.2455928400395915
6 9.98666547111718 2.381200706751194
12 18.12833661716571 4.891044869828557
7 10.037283353963119 2.6786523096421195
10 15.123154388228357 4.161648081645119
11 15.768136055696433 4.335643477039646
8 12.413906818770814 3.3732008431697107
6 9.835055844308675 2.369645030258781
10 15.259088013177362 3.4504210481985926
12 17.934884567935914 4.740337894550724
12 18.623025905350687 4.947162382995626
8 12.201070868738729 3.0244407920059206
11 16.489399536850065 4.4115659779551555
12 19.069728172965632 4.718579761105322
5 8.131462749709506 1.8896284214381343
10 14.519109310222756 3.9798868714399394
11 17.03912178854167 4.4547872750348905
6 9.080832882175791 2.3115145088793896
13 19.780287039662554 5.328767067462509
12 18.948558722480616 4.75677840783864
13 20.516272023313146 4.839092622358229
10 15.987544594383056 3.8109127441711994
7 10.3623339386552 2.8676686994259417
13 20.209637369193025 5.415596360118116
7 10.240874224443647 2.7080393506434817
16 25.6837847023888 6.318838120518922
8 12.208964717993881 3.40408554074854
9 14.192657256431946 3.494911710967854
8 12.932329245222062 3.157578096714208
15 19.44634161061358 5.947040406728821
10 14.19657850284186 4.353599058649637
11 16.629378594975336 4.386604814818151
10 15.700308352389477 3.7310285316713516
9 14.04392314688554 3.5985748436811313
12 18.059311297030167 4.968982784835917
14 21.42856061760941 5.601539688403428
15 23.666079816113125 6.120046437746503
14 23.530758063664656 5.346352750697137
12 17.062704202251012 4.892746175399471
10 15.105529666421585 4.238034521131434
2 3.105845017624838 0.7012291826981293
8 12.059708575153882 3.368826075657233
17 27.311941307740742 7.004096995691274
5 6.972917733121629 2.0543202466537185
12 19.021262286267845 4.753225349654142
7 10.324387329465623 3.0162013615897303
12 18.84335982482781 4.5540828957613435
14 20.347848159636246 6.119789332633113
8 13.12138057732058 3.279592316069127
18 27.43902083190608 6.962214835245955
7 9.95961605489301 2.92140240807707
10 15.175170328359275 3.7911865440083994
