atime nbursts cpu_time io_time
85.3038084774516 12 17.836942605350476 4.763672462951112
104.06838701062406 16 22.68715272210409 6.74522416962815
126.70760479550941 5 7.898306087253186 1.8610464725202394
127.9513915284027 10 15.928541158491903 4.026174223172532
130.12260689987423 12 19.341352284690142 4.703777865745765
204.85092930942352 12 18.977732826367532 4.690644607914114
214.80033990322812 13 18.606165844173876 5.4334636895535375
224.9415823479652 6 8.193505027976563 2.3522006900700876
302.0387841580416 16 23.432957125644702 6.450020154533063
306.62874968800134 8 10.762403039983928 3.1373127818414988
317.9417761824454 11 17.424002792679225 4.509859532404011
350.10141914863704 8 11.812935737485557 3.1735141248770864
364.38688686113755 4 6.858469337408591 1.7105506396376784
408.8817698326762 9 12.7440018104982 3.5312963384516007
510.0375897499308 10 16.86071790995447 4.233075507070605
519.915997029278 12 18.102637999625387 4.942208419280367
541.0994207269605 8 10.666356635596467 3.3560257134915026
557.3684063795771 14 20.558326311665617 5.869889978738392
567.3714714268939 9 14.802340727982514 3.809035600121851
591.6021247004683 13 19.940241046163006 5.420226938789233
603.4073009299468 6 8.389682064295368 2.445326542073784
665.000314521375 13 19.39684087968724 5.224749378884614
689.7348526281571 10 14.43262132037 4.2183512882612675
692.9665232643921 9 13.896556716804934 3.1311608868457665
710.3310327944163 17 24.54022698728846 6.208531809298289
721.8852306087455 10 15.440818694583294 4.035973622867052
754.5696716744334 11 16.550756333172163 4.0672802658061045
758.6793984734367 8 11.365658435388722 3.497745820942491
761.777204020919 12 18.657137964814623 4.628878175392466
766.6190743112272 12 16.21221726357705 4.732377864378428
779.176144274228 8 11.052756535905377 3.2989271124128856
780.3594880270035 8 13.606623187557146 3.1325036266102084
847.52880114655 13 21.93454650940623 5.0662270187893155
875.0708906687274 12 17.48155287944983 4.854257636368425
888.7447200308205 11 16.84534223446913 4.594966838334918
916.1603076494283 15 20.839025999777128 6.434324890817922
920.9661624255484 7 9.896864730965406 2.5520469015448275
957.7033441095558 13 18.99181541131809 5.210509539155825
986.3900192880142 11 17.386982506286767 4.262432970843697
986.6313589961785 16 24.08402245340112 6.536653807217226
990.2772123691293 7 11.093047366725704 2.6436153572292698
1036.688679419747 4 6.434114699813071 1.6221654674016786
1040.6739440814024 10 15.489017731533146 4.368675355026263
1091.2679198160315 8 14.476469075548238 3.1320643771576817
1122.2834604933669 6 11.489455255845858 2.455263662997536
1126.7317814224673 20 28.933614312712905 7.91400191424137
1131.6023007169977 10 15.675859246104896 3.908077102257857
1145.4553091909524 4 5.030718146007904 1.5801297704338961
1147.6820477002873 5 8.103457519565447 1.7883507592051329
1150.790007613181 16 24.484561396275858 6.150911214181965
1170.6490493182325 12 18.426463224131215 4.748173250507557
1186.9213251886106 8 11.509321811604696 3.30643424087801
1205.2235900987391 8 11.326243798231403 2.85709118382361
1215.428267491893 6 8.424392950107782 2.5718796375460102
