nbursts cpu_time io_time
12 17.892968288523868 18.82483524783634
14 23.705167894336853 20.408013069660672
9 24.674285390926563 13.23550386307137
8 58.65344542809711 13.438152239183815
9 113.2484758021035 14.213043648104657
10 162.95377250507548 13.842706980213254
7 182.20815776687002 10.999685509771735
9 192.60022257432993 13.09203318345903
16 255.08729332146825 25.854606966945287
10 267.8256372333742 16.290155790668774
13 292.7412995702277 20.509260784358883
14 300.22020931841206 20.570518377507867
7 329.7028366678286 11.074936584413587
10 369.81350578645294 15.870751176829474
10 427.43063498798824 13.659773322568466
13 434.6872071717644 20.420654640622278
4 434.80554762746465 5.68186689740494
10 453.9010849839142 14.169334671051432
9 513.4178711936949 12.051829549079294
10 514.316787325752 15.666712263458521
6 522.1914002488027 7.914123799661027
15 546.9776002418182 20.597521116214462
6 560.999644170635 8.997840646389857
11 590.8210850893864 15.476828844642917
13 619.466738054062 20.854984967799194
9 626.7473261129757 11.561765375327285
6 731.8966942784274 8.461361083347658
10 782.7969062610902 16.760720625439436
7 784.5858349037463 10.329460017234203
9 795.1424997079855 13.21962333796674
11 869.9923493469663 17.173268171044732
5 876.580933672933 7.187917620966379
6 886.4251036787855 9.98666547111718
12 898.9572225954128 18.12833661716571
7 925.903513302123 10.037283353963119
10 941.3926983746584 15.123154388228357
11 955.5337386653371 15.768136055696433
8 980.4082085774415 12.413906818770814
6 997.5829242461579 9.835055844308675
10 1052.9521761128683 15.259088013177362
12 1066.2366345810403 17.934884567935914
12 1072.6591175596923 18.623025905350687
8 1071.7953889045993 12.201070868738729
11 1124.7851375528373 16.489399536850065
12 1153.9097347943834 19.069728172965632
5 1172.0461114324394 8.131462749709506
10 1175.6613817593222 14.519109310222756
11 1325.7732717657752 17.03912178854167
6 1347.7277123184726 9.080832882175791
13 1356.132031883362 19.780287039662554
